,client_id,gender,birth_date,district_id
0,1,F,1970-12-13,18
1,2,M,1945-02-04,1
2,3,F,1940-10-09,1
3,4,M,1956-12-01,5
4,5,F,1960-07-03,5
5,6,M,1919-09-22,12
6,7,M,1929-01-25,15
7,8,F,1938-02-21,51
8,9,M,1935-10-16,60
9,10,M,1943-05-01,57
10,11,F,1950-08-22,57
11,12,M,1981-02-20,40
12,13,F,1974-05-29,54
13,14,F,1942-06-22,76
14,15,F,1918-08-28,21
15,16,M,1919-02-25,21
16,17,M,1934-10-13,76
17,18,F,1931-04-05,76
18,19,M,1942-12-28,47
19,20,M,1979-01-04,46
20,21,F,1952-10-29,12
21,22,F,1969-10-11,1
22,23,M,1973-05-29,1
23,24,F,1939-07-29,43
24,25,F,1939-04-23,21
25,26,F,1969-04-20,74
26,27,F,1966-03-26,54
27,28,M,1945-09-29,1
28,29,F,1951-09-11,30
29,30,F,1957-10-09,74
30,31,M,1962-02-09,68
31,32,M,1980-07-28,52
32,33,F,1948-12-04,73
33,36,F,1978-07-17,7
34,37,M,1970-08-10,7
35,38,F,1973-07-23,36
36,39,M,1968-01-25,68
37,40,F,1957-01-22,5
38,41,M,1968-08-27,22
39,42,M,1935-08-17,68
40,43,M,1920-10-28,75
41,44,F,1977-01-11,38
42,45,M,1952-08-26,20
43,46,F,1940-01-30,19
44,47,M,1934-07-14,76
45,48,M,1940-02-09,16
46,49,F,1959-05-11,72
47,50,F,1978-07-30,39
48,51,F,1979-12-02,36
49,52,M,1924-12-12,32
50,53,M,1977-05-05,64
51,55,F,1948-09-18,45
52,56,M,1960-03-31,21
53,57,F,1961-12-17,21
54,58,F,1927-04-29,1
55,59,M,1957-02-18,1
56,60,M,1980-02-19,67
57,61,F,1948-08-06,16
58,62,M,1932-12-08,77
59,63,M,1959-06-04,4
60,64,M,1926-04-22,20
61,65,F,1943-05-27,50
62,66,F,1951-11-10,1
63,67,F,1932-11-11,29
64,68,M,1946-12-14,43
65,70,M,1925-12-22,70
66,71,F,1927-02-06,70
67,72,M,1923-01-13,47
68,73,M,1924-02-20,22
69,74,F,1925-07-26,22
70,75,F,1977-09-19,64
71,76,F,1967-10-01,36
72,77,F,1956-02-18,1
73,78,F,1944-06-13,16
74,79,F,1969-03-10,37
75,80,F,1979-02-25,64
76,81,M,1976-04-29,8
77,82,F,1979-12-25,8
78,83,F,1978-12-25,1
79,84,M,1979-05-05,1
80,85,M,1961-08-27,1
81,86,F,1969-07-20,1
82,87,F,1946-11-17,72
83,89,F,1951-05-05,1
84,90,M,1975-08-17,52
85,91,M,1940-08-07,63
86,92,F,1966-06-12,74
87,93,M,1925-02-16,3
88,94,M,1947-09-09,43
89,95,F,1952-08-03,43
90,96,M,1972-02-29,74
91,97,M,1965-11-28,26
92,98,F,1973-05-04,33
93,99,M,1973-01-26,33
94,100,F,1942-08-11,44
95,101,M,1943-01-23,68
96,102,F,1958-09-10,74
97,103,M,1955-07-11,74
98,105,M,1980-05-26,31
99,106,F,1968-12-30,68
100,107,M,1972-06-23,1
101,108,M,1963-09-13,17
102,110,F,1967-04-13,2
103,112,M,1935-01-25,1
104,113,F,1940-08-15,1
105,114,F,1969-06-24,74
106,115,M,1969-12-24,74
107,116,M,1942-01-28,74
108,117,F,1936-09-20,74
109,118,M,1922-07-19,55
110,119,F,1922-02-28,55
111,120,M,1976-05-10,1
112,121,F,1978-10-29,41
113,122,F,1963-11-13,35
114,123,M,1969-02-12,11
115,124,M,1967-09-21,44
116,125,M,1936-10-31,37
117,126,F,1929-09-27,37
118,127,F,1950-12-27,21
119,128,F,1973-04-04,63
120,129,F,1947-05-31,64
121,130,M,1942-02-14,53
122,131,F,1977-01-31,53
123,132,M,1953-01-26,36
124,134,M,1932-01-18,6
125,135,F,1938-09-10,6
126,136,F,1921-01-26,55
127,137,M,1923-09-14,60
128,138,F,1972-10-21,54
129,139,F,1959-07-25,8
130,140,M,1961-06-06,8
131,141,M,1925-11-02,31
